id,sentence,label
fde9e435-8186-4cb3-8ec1-1be67ddb5f96,"""Трудно е класически оркестър и рок банда да свирят заедно, имаме физически проблеми, защото една рок група, колкото и да свири тихо, тя все пак е силна.""",OBJ
bb522430-40f0-4781-9910-92a1aefd013b,"Следователно, Москва е пазителка на православното християнство и нейната миися е да го защиава навсякъде.",OBJ
d6a84f01-9153-4f3b-bca6-ed2b2edc6a9e,"От Washington Post са изготвили подробен материал, който анализира техните тролски атаки, убеждения и тяхната цел.",OBJ
3623488a-c528-4509-a92d-9ad4b49099ec,И пак така относно заслугите за постигнатото от хората.,OBJ
587b0e27-6ac8-433f-9b99-adf8d9c7c0a2,Понякога удобството да разтвориш набързо страниците надделява над удоволствието да проследиш едночасов киноразказ.,OBJ
f2d2aab0-25af-4bef-b678-badd5b390e8d,"Вчера Барак Обама, отиващият си тъжен стопанин на Белия дом, най-яростният привърженик на идеята, че Русия е регионална държава и трябва да бъде смазана и подчинена на САЩ, човекът, който подготвяше мълниеносен ядрен удар срещу Руската федерация, направи признание, което никой не очакваше.",SUBJ
f94840f8-7fb6-42e3-aa84-0a250d58af5b,"Дали защото Първият черен президент на САЩ си отива и не иска народите да го запомнят като президента, който е докарал света до ръба на ядрен апокалипсис, или защото наистина го мисли, но думите му за великата сила Русия, докараха до див ужас не само соросоидите в България, но и техните началници от Западна Европа.",SUBJ
b30bd670-07fd-40ac-82d7-c67988f57cc3,"И като доказателство за това, гръмна и следващата новина: На заседание на Генералната асамблея на ООН бе гласувана резолюция, която трябваше да осъди някакви измислени от старата администрация на Белия дом нарушения на правата на човека в Крим.",SUBJ
512b57e5-9b65-43a8-8dec-01bef61a3ad6,"Последният път, когато Америка се обърна навътре, към себе си беше след Първата световна война и последствията бяха катастрофални.",SUBJ
d6bad64f-59f2-491e-9d99-103d2748d647,"Шок, бомба, ужас!",SUBJ
14f59e8a-7f95-4170-82a3-ea1da0d1791c,"Вдигаме пенсиите, заплатите, помощите с 2000 процента.",SUBJ
8443e7ec-d556-455c-bb11-b016740c23fd,Какво следва от победата на народните маси?,SUBJ
9bbb084e-4953-40a6-8678-88bad00bc4a8,"Те пишат неща, които не ни се иска да са верни, следователно не са верни.",SUBJ
ccf857f8-57ee-4c27-b3cd-84849eb6e386,"Вярвам в тази предопределеност, макар, че смятам и че човек може сам в някаква степен да влияе на живота си чрез мислите си.",SUBJ
8ab0388b-585b-456a-9200-322babf6414f,"Когато почувствате облекчението, веднага се спира употребата им, за да се избегне натрупването им в органите.",OBJ
23cf2b4a-2faa-4eb1-b351-2e325f2f094b,"Освен тези неща, много важна е и алкалната среда в организма.",OBJ
ad7e4bc8-a9e8-4976-b953-e858dc75651f,"От тази гледна точка НАТО не е «милостив гарант на либералния ред в Европа, а вражески агент».",SUBJ
